id,제목,코드,템포,주제
b_1b4ckla,죄에서 자유를 얻게 함은,G A,미디움,보혈
b_k4l9xt,주 다스리네,D,빠른곡,영적전쟁
b_pkersh,주 달려 죽은 십자가,F,느린곡,십자가
b_1ihhbs8,주 말씀 내 발의 등이요,F,미디움,말씀
b_1u7sgcl,주 발 앞에 나 엎드려,A,빠른곡,"경배, 예수"
b_1iz0vhp,주 보좌로부터,G,느린곡,"경배, 영광"
b_deczdk,주 보혈 날 정결케 하고,G,느린곡,보혈
b_1fui4ix,주 사랑 놀라운 그 사랑,A,느린곡,"예수, 사랑"
b_8kwrew,주 사랑이 나를 숨쉬게 해,D,느린곡,"은혜, 사랑"
b_dsh7jt,주 신실하심 놀라워,G,빠른곡,은혜
b_ivjl10,주 십자가를 지심으로,A,느린곡,"십자가, 보혈"
b_efyghh,주 안에 거하는 너,D,미디움,"말씀, 인도와 보호"
b_tk2a0t,주 안에 새 생명 있네,C,미디움,"은혜, 고백"
b_1mvi99t,주 안에 우리 하나 되어,F,미디움,"결단과 헌신, 교제"
b_14pc22h,주 안에 있는 나에게,G,미디움,"고백, 인도와 보호"
b_n7kqpd,주 안에서 우리 하나 되니,F,미디움,"결단과 헌신, 교제"
b_xcv8sv,주 앞에 나와,A Bb,느린곡,"경배, 고백"
b_u9au3u,주 앞에 무릎 꿇고,G,느린곡,"경배, 고백"
b_y5lup1,주 없이 살 수 없네,G,느린곡,고백
b_91b5e4,주 여호와는 광대하시도다,G A,느린곡,"찬양(느린곡), 영적전쟁"
b_kbokg,주 예수 기뻐 찬양해,F,빠른곡,"찬양(빠른곡), 예수"
b_6cmz1s,주 예수 보다 더 귀한 것은 없네,C,느린곡,"예수, 고백"
b_9c700b,주 예수 이름 높이어,E,빠른곡,"찬양(빠른곡), 예수"
b_10pglbz,주 예수의 이름 높이세,G,빠른곡,"예수, 영적전쟁"
b_wykiit,주 은혜임을,F G A,느린곡,"은혜, 고백"
b_o73fx4,주 음성 외에는,G,느린곡,"고백, 인도와 보호"
b_3oj2q9,주 이름 큰 능력 있도다,D,빠른곡,"찬양(빠른곡), 예수"
b_163xmma,주 임재하시는 곳에,F,빠른곡,찬양(빠른곡)
b_97mich,주 찬양합니다,D,미디움,"찬양(빠른곡), 경배"
b_2yuhmp,주 품에,C,느린곡,"경배, 고백"
b_3ajaux,주 하나님 독생자 예수,A,느린곡,예수
b_q3ru5l,주 하나님 지으신 모든 세계,A,느린곡,"경배, 하나님"
b_1w3scbl,주가 보이신 생명의 길,A,느린곡,"예수, 고백"
b_18s29d1,주가 일하시네,C A,빠른곡,"찬양(빠른곡), 영광"
b_1ad1dmd,주가 주 되심을,C G A,미디움,"경배, 고백"
b_qeatf9,주기도문,A,느린곡,"말씀, 간구"
b_ipka49,주께 가까이,A,느린곡,"경배, 간구"
b_bpoyh,주께 가까이 날 이끄소서,A,느린곡,간구
b_ip4o19,주께 가오니,A,느린곡,"사랑, 고백"
b_nifv8e,주께 가오니 나를 받으소서,G,느린곡,"결단과 헌신, 간구"
b_10uf3kn,주께와 엎드려,C,느린곡,경배
b_1ivctjc,주는 나를 기르시는 목자요,G,느린곡,"예수, 인도와 보호"
b_1cowvk8,주는 완전합니다,A,느린곡,"경배, 고백"
b_1hm5tg5,주님 나라 위하여,D,미디움,"결단과 헌신, 선교"
b_1iq3ygx,주님 내가 여기 있사오니,D,느린곡,결단과 헌신
b_1iwipa1,주님 다시 오실 때까지,C,느린곡,결단과 헌신
b_1js0yhe,주님 뜻대로 살기로 했네,A,빠른곡,결단과 헌신
b_1heoci9,주님 마음 내게 주소서,C,느린곡,간구
b_skoeld,주님 말씀하시면,D,느린곡,"말씀, 결단과 헌신"
b_a1k3m4,주님 사랑 온 누리에,F,미디움,"사랑, 선교"
b_d1ql04,주님 손에 맡겨 드리리,D E F,느린곡,"결단과 헌신, 고백, 인도와 보호"
b_4r4hjc,주님 손잡고 일어서세요,C A,느린곡,"치유, 인도와 보호"
b_n2mqhi,주님 큰 영광 받으소서,G A,느린곡,영광
b_1eyl6np,주님 한 분만으로,G,빠른곡,"사랑, 고백"
b_k8lfe8,주님과 같이,F G,느린곡,"고백, 인도와 보호"
b_tj2mep,주님께 감사해,A,빠른곡,"감사, 경배, 예수"
b_huol0t,주님께서 다스리네,D,빠른곡,"찬양(빠른곡), 영광"
b_rcbkg4,주님만 사랑하리,F,느린곡,"결단과 헌신, 사랑"
b_1lr8zgh,주님여 이 손을 꼭 잡고,G,느린곡,"간구, 인도와 보호"
b_1yeawho,주님은 너를 사랑해,D,미디움,"사랑, 교제"
b_1t9ohkt,주님은 신실하고,G,미디움,고백
b_129e4zr,주님은 절대 포기하지 않으시죠,E,미디움,"은혜, 치유"
b_1sn47ok,주님을 바라봅니다,D,느린곡,"간구, 고백"
b_5cq55h,주님을 보게 하소서,G,느린곡,"결단과 헌신, 간구, 고백"
b_1vstsi,주님의 마음 있는 곳,A,느린곡,"결단과 헌신, 고백"
b_17woqlq,주님의 사랑이 이 곳에 가득하기를,E,느린곡,"사랑, 간구, 교제"
b_k5e20h,주님의 성령,C,느린곡,"성령, 간구"
b_pbxdm6,주님의 성령 지금 이 곳에,D,느린곡,"성령, 간구"
b_qfu8p7,주님의 숲,A,미디움,"치유, 교제"
b_3730ud,주님의 영광 나타나셨네,G,빠른곡,영광
b_o3xsx2,주를 높이기 원합니다,G,느린곡,"경배, 결단과 헌신"
b_novyq0,주를 앙모하는 자,A,미디움,"고백, 인도와 보호"
b_lalyq2,주를 위한 이곳에,D,미디움,경배
b_qezrco,주를 찬양,G,빠른곡,"찬양(빠른곡), 경배"
b_1e9lc,주를 찬양하며,F,느린곡,찬양(느린곡)
b_1rhvvrb,주를 찾는 모든 자들이,E,미디움,"경배, 간구"
b_1jtterp,주를 향한 나의 사랑을,E F G,느린곡,사랑
b_1440rst,주만 바라볼지라,A,미디움,"고백, 인도와 보호"
b_mvsuxn,주와 같이 길 가는 것,E,느린곡,"고백, 인도와 보호"
b_j6sse7,주의 말씀 앞에 선,F,느린곡,"말씀, 고백"
b_h2qty1,주의 발자취를 따름이,D,미디움,"결단과 헌신, 고백"
b_16sb5l9,주의 보좌로 나아갈 때에,E,미디움,"십자가, 보혈"
b_1tpohpo,주의 사랑을 주의 선하심을,D,미디움,"감사, 사랑, 고백"
b_111e9yy,주의 성령이 이곳에 임하여,E,느린곡,"경배, 성령"
b_1cj2mf9,주의 손에 나의 손을 포개고,G,느린곡,"결단과 헌신, 간구"
b_o9tw41,주의 신실하심,G,느린곡,"은혜, 고백"
b_1va86y,주의 영광 빛나니,G,느린곡,"경배, 영광"
b_84o7j,주의 영광 이곳에 가득해,A,느린곡,"경배, 영광"
b_1o2643r,주의 옷자락 만지며,A,느린곡,"간구, 치유"
b_x0fli9,주의 은혜라,A,느린곡,"은혜, 고백"
b_ea927w,주의 음성을 내가 들으니,G,미디움,"말씀, 고백"
b_3pm3c7,주의 이름 높이며,G A,빠른곡,예수
b_1sd4lzm,주의 인자는 끝이 없고,D,느린곡,찬양(느린곡)
b_bwamjt,주의 인자하심이,G,느린곡,"은혜, 고백"
b_166lhep,주의 임재 안에 우리 모였네,E,느린곡,"경배, 교제"
b_1ubtq6r,주의 임재 앞에 잠잠해,A,느린곡,"경배, 영광"
b_e31fln,주의 임재 앞에서,A,느린곡,"경배, 고백"
b_sxijny,주의 자녀로 산다는 것은,E,미디움,"결단과 헌신, 고백"
b_1kk3wkl,주의 자비가 내려와,D,빠른곡,찬양(빠른곡)
b_6q547h,주의 집에 영광이 가득해,A,빠른곡,"찬양(빠른곡), 영광"
b_q6i2y5,주의 친절한 팔에 안기세,G,느린곡,인도와 보호
b_1a49ash,죽으면 죽으리라,B,느린곡,"결단과 헌신, 고백"
b_mot9o1,지금 우리가,D,미디움,"결단과 헌신, 교제"
b_33lbku,지금까지 지내온 것,D E,느린곡,"감사, 은혜"
b_kva6a5,지금은 엘리야 때처럼,A,빠른곡,예수
b_se74gj,지존하신 주님 이름 앞에,G,느린곡,경배
b_4tmcd0,찬송을 부르세요,G,빠른곡,"감사, 찬양(빠른곡)"
b_1ge9f1s,찬양이 언제나,A,미디움,"찬양(빠른곡), 경배"
b_10oxgep,찬양하라 내 영혼아,F G A,빠른곡,"찬양(빠른곡), 경배"
b_p3bmmw,찬양하세,A,빠른곡,"찬양(빠른곡), 예수"
b_zy83fs,참 반가운 성도여,G A,빠른곡,"찬양(빠른곡), 교제, 성탄"
b_mg2gix,참 아름다워라,D,미디움,"감사, 하나님"
b_lid0s0,창조의 아버지,G,느린곡,"하나님, 영광, 선교"
b_vcelic,천국은 마치,G,미디움,"말씀, 고백"
b_tv5og3,천부여 의지 없어서,F,느린곡,"간구, 고백"
b_1ksu05l,천사들의 노래가,E F,빠른곡,"영광, 성탄"
b_1o4vvod,축복의 사람,D E,미디움,"간구, 교제"
b_1o1r2n4,축복합니다,E,미디움,"간구, 교제"
b_1c1st09,춤추는 사자처럼,A,빠른곡,"찬양(빠른곡), 영적전쟁"
b_36tz4,충만,G,미디움,"성령, 간구"
b_1l45bq4,큰 영광 중에 계신 주,G,느린곡,"경배, 영광"
b_1fc9wr0,태산을 넘어 험곡에 가도,G,미디움,"고백, 인도와 보호"
b_x3df7w,평안을 너에게 주노라,D,느린곡,"치유, 인도와 보호"
b_8axfhs,평화 하나님의 평강이,E,느린곡,"인도와 보호, 교제"
b_1p5l5p,하나님 아버지,A,느린곡,"경배, 하나님"
b_wylie9,하나님 아버지의 마음,C,느린곡,"하나님, 사랑"
b_ofvsxc,하나님 어린 양 독생자 예수,A,느린곡,"예수, 십자가, 보혈"
b_1si9hlh,하나님께로 더 가까이,G,느린곡,"경배, 간구"
b_1h1gcx1,하나님께서 당신을 통해,G,미디움,"간구, 교제"
b_fv5245,하나님은 너를 지키시는 자,E,느린곡,"인도와 보호, 교제"
b_1i0wu9l,하나님은 우리의,A,미디움,"하나님, 인도와 보호"
b_9khagp,하나님의 그늘 아래,A,느린곡,"고백, 인도와 보호"
b_87fdux,하나님의 나팔 소리,G,빠른곡,"영광, 고백"
b_1i17eyl,하나님의 부르심,A,미디움,"결단과 헌신, 선교"
b_1sdvxrk,하나님의 사랑 주님의 눈물,G,느린곡,"십자가, 사랑, 치유"
b_1illh8s,하나님의 사랑이,D,느린곡,"은혜, 사랑"
b_1ni921,하나님의 은혜,D F,느린곡,"은혜, 고백"
b_11jrpws,하나님이 날 참 사랑하시네,E,미디움,"은혜, 사랑"
b_1my6ft,하나님이시여,C G A Bb,느린곡,"경배, 간구"
b_ujbuqo,하늘 가는 밝은 길이,C A,미디움,"고백, 인도와 보호"
b_l9u844,하늘 소망,E,느린곡,"간구, 고백"
b_fgpj03,하늘 위에 주님 밖에,A,빠른곡,고백
b_1qo3n0s,하늘과 땅 모두 즐거워하라,G,빠른곡,"찬양(빠른곡), 영광"
b_8s7oyl,하늘의 문을 여소서,C A,미디움,"성령, 간구"
b_1qsuc9x,하늘의 해와 달들아,D,빠른곡,"찬양(빠른곡), 영광"
b_al7pah,하늘이 열리고,A,빠른곡,"찬양(빠른곡), 경배"
b_1qhmsx0,한라에서 백두까지,C,느린곡,"결단과 헌신, 선교"
b_1862jpl,할 수 있다 하신 이는,C A,빠른곡,"결단과 헌신, 고백"
b_2tb8a4,항해자,A,미디움,"결단과 헌신, 인도와 보호"
b_11ukylv,해 같이 빛나리,A,미디움,"영광, 고백"
b_1nw0fm5,해 뜨는 데부터,E,빠른곡,"찬양(빠른곡), 선교"
b_sk1x9o,행군 나팔 소리로,F,빠른곡,"선교, 영적전쟁"
b_32r89,행복,C,느린곡,"은혜, 고백"
b_9wtw00,형제의 모습 속에 보이는,E F,느린곡,"사랑, 교제"
b_2sku5x,호산나,G,미디움,"경배, 예수"
